ImagePath,Label
135_6_982_378_0.806.png,11
135_6_982_378_0.806.png,2
135_6_982_378_0.806.png,9
135_6_982_378_0.806.png,10
135_6_982_378_0.806.png,15
135_6_982_378_0.806.png,14
135_6_982_378_0.806.png,12
135_6_982_378_0.806.png,4
135_6_982_378_0.806.png,5
135_6_982_378_0.806.png,7
135_6_982_378_0.806.png,18
135_6_982_378_0.806.png,22
135_6_982_378_0.806.png,12
135_6_982_378_0.806.png,17
135_6_982_378_0.806.png,3
135_6_982_378_0.806.png,5
135_6_982_378_0.806.png,19
135_6_982_378_0.806.png,21
135_6_982_378_0.806.png,7
135_6_982_378_0.806.png,3
135_6_982_378_0.806.png,9
135_6_982_378_0.806.png,18
135_6_982_378_0.806.png,23
135_6_982_378_0.806.png,1
135_6_982_378_0.806.png,16
135_6_982_378_0.806.png,15
135_6_982_378_0.806.png,1
135_6_982_378_0.806.png,19
135_6_982_378_0.806.png,22
135_6_982_378_0.806.png,8
135_6_982_378_0.806.png,13
135_6_982_378_0.806.png,11
135_6_982_378_0.806.png,20
135_6_982_378_0.806.png,20
135_6_982_378_0.806.png,2
135_6_982_378_0.806.png,13
135_6_982_378_0.806.png,10
135_6_982_378_0.806.png,24
135_6_982_378_0.806.png,14
135_6_982_378_0.806.png,8
135_6_982_378_0.806.png,16
135_6_982_378_0.806.png,4
135_6_982_378_0.806.png,17
135_6_982_378_0.806.png,6
135_6_982_378_0.806.png,21
151_4_786_411_0.774.png,22
151_4_786_411_0.774.png,2
151_4_786_411_0.774.png,21
151_4_786_411_0.774.png,20
151_4_786_411_0.774.png,4
151_4_786_411_0.774.png,3
151_4_786_411_0.774.png,7
151_4_786_411_0.774.png,22
151_4_786_411_0.774.png,14
151_4_786_411_0.774.png,1
151_4_786_411_0.774.png,7
151_4_786_411_0.774.png,19
151_4_786_411_0.774.png,1
151_4_786_411_0.774.png,11
151_4_786_411_0.774.png,18
151_4_786_411_0.774.png,5
151_4_786_411_0.774.png,13
151_4_786_411_0.774.png,6
151_4_786_411_0.774.png,13
151_4_786_411_0.774.png,17
151_4_786_411_0.774.png,17
151_4_786_411_0.774.png,10
151_4_786_411_0.774.png,10
151_4_786_411_0.774.png,9
151_4_786_411_0.774.png,12
151_4_786_411_0.774.png,16
151_4_786_411_0.774.png,2
151_4_786_411_0.774.png,16
151_4_786_411_0.774.png,24
151_4_786_411_0.774.png,6
151_4_786_411_0.774.png,12
152_1_835_411_0.786.png,6
152_1_835_411_0.786.png,1
152_1_835_411_0.786.png,14
152_1_835_411_0.786.png,10
152_1_835_411_0.786.png,12
152_1_835_411_0.786.png,17
152_1_835_411_0.786.png,6
152_1_835_411_0.786.png,9
152_1_835_411_0.786.png,4
152_1_835_411_0.786.png,18
152_1_835_411_0.786.png,20
152_1_835_411_0.786.png,7
152_1_835_411_0.786.png,22
152_1_835_411_0.786.png,3
152_1_835_411_0.786.png,16
152_1_835_411_0.786.png,18
152_1_835_411_0.786.png,7
152_1_835_411_0.786.png,22
152_1_835_411_0.786.png,3
152_1_835_411_0.786.png,13
152_1_835_411_0.786.png,13
152_1_835_411_0.786.png,15
152_1_835_411_0.786.png,14
152_1_835_411_0.786.png,4
152_1_835_411_0.786.png,11
152_1_835_411_0.786.png,12
152_1_835_411_0.786.png,21
152_1_835_411_0.786.png,15
152_1_835_411_0.786.png,5
152_1_835_411_0.786.png,8
152_1_835_411_0.786.png,23
152_1_835_411_0.786.png,5
152_1_835_411_0.786.png,24
152_1_835_411_0.786.png,20
152_1_835_411_0.786.png,2
152_1_835_411_0.786.png,17
152_1_835_411_0.786.png,8
152_1_835_411_0.786.png,11
152_1_835_411_0.786.png,2
152_1_835_411_0.786.png,21
152_1_835_411_0.786.png,10
152_1_835_411_0.786.png,16
152_1_835_411_0.786.png,1
62_2_345_279_0.701.png,13
62_2_345_279_0.701.png,23
62_2_345_279_0.701.png,15
62_2_345_279_0.701.png,6
62_2_345_279_0.701.png,7
62_2_345_279_0.701.png,10
62_2_345_279_0.701.png,21
62_2_345_279_0.701.png,24
62_2_345_279_0.701.png,3
62_2_345_279_0.701.png,4
62_2_345_279_0.701.png,14
62_2_345_279_0.701.png,22
62_2_345_279_0.701.png,8
62_2_345_279_0.701.png,18
62_2_345_279_0.701.png,17
62_2_345_279_0.701.png,1
62_2_345_279_0.701.png,12
62_2_345_279_0.701.png,2
62_2_345_279_0.701.png,3
62_2_345_279_0.701.png,21
62_2_345_279_0.701.png,14
62_2_345_279_0.701.png,22
62_2_345_279_0.701.png,20
62_2_345_279_0.701.png,4
62_2_345_279_0.701.png,9
62_2_345_279_0.701.png,1
62_2_345_279_0.701.png,16
62_2_345_279_0.701.png,5
62_2_345_279_0.701.png,8
62_2_345_279_0.701.png,16
62_2_345_279_0.701.png,2
62_2_345_279_0.701.png,15
62_2_345_279_0.701.png,20
62_2_345_279_0.701.png,11
62_2_345_279_0.701.png,9
62_2_345_279_0.701.png,19
62_2_345_279_0.701.png,17
62_2_345_279_0.701.png,12
62_2_345_279_0.701.png,13
62_2_345_279_0.701.png,5
62_2_345_279_0.701.png,10
62_2_345_279_0.701.png,7
62_2_345_279_0.701.png,18
62_2_345_279_0.701.png,19
62_2_345_279_0.701.png,11
62_2_345_279_0.701.png,6
63_3_394_279_0.814.png,16
63_3_394_279_0.814.png,18
63_3_394_279_0.814.png,3
63_3_394_279_0.814.png,12
63_3_394_279_0.814.png,21
63_3_394_279_0.814.png,2
63_3_394_279_0.814.png,21
63_3_394_279_0.814.png,22
63_3_394_279_0.814.png,8
63_3_394_279_0.814.png,14
63_3_394_279_0.814.png,9
63_3_394_279_0.814.png,13
63_3_394_279_0.814.png,11
63_3_394_279_0.814.png,9
63_3_394_279_0.814.png,10
63_3_394_279_0.814.png,22
63_3_394_279_0.814.png,8
63_3_394_279_0.814.png,16
63_3_394_279_0.814.png,7
63_3_394_279_0.814.png,4
63_3_394_279_0.814.png,11
63_3_394_279_0.814.png,13
63_3_394_279_0.814.png,7
63_3_394_279_0.814.png,6
63_3_394_279_0.814.png,23
63_3_394_279_0.814.png,5
63_3_394_279_0.814.png,17
63_3_394_279_0.814.png,20
63_3_394_279_0.814.png,10
63_3_394_279_0.814.png,20
63_3_394_279_0.814.png,3
